url,manufacturer,car_name,body_style_general,body_style,production_start,production_end,production_end_display,car_label,half_decade,decade,length,width,width_incl_mirrors,height,wheelbase,ground_clearance,cargo_volume,cargo_volume_max,weight,segment,price_eu,price_us
https://www.carsized.com/en/cars/gmc-sierra-2022-pickup-1500-crew-cab-5-8/,GMC,Sierra 1500 Crew Cab 5.8,Pick-up,Pick-up,2022,,present,GMC Sierra 1500 Crew Cab 5.8 (2022-present),2020-2024,2020s,589.0,206.2,,191.7,374.4,20.6,,,2259.0,Standard,,44400.0
https://www.carsized.com/en/cars/gmc-sierra-2022-pickup-1500-regular-cab-sb/,GMC,Sierra 1500 Regular Cab SB,Pick-up,Pick-up,2022,,present,GMC Sierra 1500 Regular Cab SB (2022-present),2020-2024,2020s,535.9,206.2,,192.2,320.0,20.1,,,2014.0,Standard,,37700.0
https://www.carsized.com/en/cars/gmc-sierra-ev-2023-pickup-crew-cab/,GMC,Sierra EV Crew Cab,Pick-up,Pick-up,2023,,present,GMC Sierra EV Crew Cab (2023-present),2020-2024,2020s,592.8,212.9,243.1,199.9,368.3,22.9,,,3910.0,Standard,,97500.0
https://www.carsized.com/en/cars/gmc-terrain-2016-suv/,GMC,Terrain,SUV,SUV,2016,2017.0,2017,GMC Terrain (2016-2017),2015-2019,2010s,471.2,184.9,,168.4,285.8,17.5,,,1720.0,Standard,,23975.0
https://www.carsized.com/en/cars/gmc-terrain-2017-suv/,GMC,Terrain,SUV,SUV,2017,2020.0,2020,GMC Terrain (2017-2020),2015-2019,2010s,463.0,183.9,,166.1,272.5,17.5,,,1564.0,Standard,,24995.0
https://www.carsized.com/en/cars/gmc-yukon-2005-suv/,GMC,Yukon,SUV,SUV,2005,2014.0,2014,GMC Yukon (2005-2014),2005-2009,2000s,513.1,200.7,,195.3,294.6,23.1,1708.0,3084.0,2392.0,Standard,,34675.0
https://www.carsized.com/en/cars/gmc-yukon-2014-suv/,GMC,Yukon,SUV,SUV,2014,2019.0,2019,GMC Yukon (2014-2019),2010-2014,2010s,517.9,204.5,,189.0,294.6,20.3,433.0,2682.0,2408.0,Standard,,47740.0
https://www.carsized.com/en/cars/gmc-yukon-2020-suv-lwb/,GMC,Yukon XL,SUV,SUV LWB,2020,,present,GMC Yukon XL (2020-present),2020-2024,2020s,572.0,205.7,,194.3,340.6,25.4,2656.0,4098.0,2555.0,Standard,,53700.0
https://www.carsized.com/en/cars/gmc-yukon-2020-suv/,GMC,Yukon,SUV,SUV,2020,,present,GMC Yukon (2020-present),2020-2024,2020s,533.4,205.7,,194.3,307.1,25.4,2055.0,3480.0,2490.0,Standard,,51000.0
https://www.carsized.com/en/cars/haval-jolion-2021-suv/,Haval,Jolion,SUV,SUV,2021,,present,Haval Jolion (2021-present),2020-2024,2020s,447.2,184.1,,162.6,270.0,16.8,430.0,1133.0,1345.0,Standard,,
https://www.carsized.com/en/cars/honda-accord-1996-sedan/,Honda,Accord,Sedan,Sedan,1996,1998.0,1998,Honda Accord (1996-1998),1995-1999,1990s,471.4,178.1,,140.5,271.5,,,,1295.0,Standard,,15100.0
https://www.carsized.com/en/cars/honda-accord-2002-sedan/,Honda,Accord,Sedan,Sedan,2002,2005.0,2005,Honda Accord (2002-2005),2000-2004,2000s,481.3,181.6,,145.0,274.1,,,,1356.0,Standard,,15800.0
https://www.carsized.com/en/cars/honda-accord-2007-coupe/,Honda,Accord,Coupé,Coupé,2007,2012.0,2012,Honda Accord (2007-2012),2005-2009,2000s,484.9,184.9,,143.3,274.1,14.0,,,1461.0,Standard,,21860.0
https://www.carsized.com/en/cars/honda-accord-2007-sedan/,Honda,Accord,Sedan,Sedan,2007,2012.0,2012,Honda Accord (2007-2012),2005-2009,2000s,493.0,184.7,,147.6,279.9,14.0,,,1465.0,Standard,,20360.0
https://www.carsized.com/en/cars/honda-accord-2008-estate-eu/,Honda,Accord EU,Estate,Estate,2008,2015.0,2015,Honda Accord EU (2008-2015),2005-2009,2000s,474.0,184.0,,144.0,270.5,13.5,406.0,1252.0,1502.0,Standard,24250.0,
https://www.carsized.com/en/cars/honda-accord-2008-sedan-eu/,Honda,Accord EU,Sedan,Sedan,2008,2017.0,2017,Honda Accord EU (2008-2017),2005-2009,2000s,472.5,184.0,,144.0,270.5,13.5,467.0,,1484.0,Standard,22950.0,
https://www.carsized.com/en/cars/honda-accord-2012-sedan/,Honda,Accord,Sedan,Sedan,2012,2016.0,2016,Honda Accord (2012-2016),2010-2014,2010s,486.2,184.9,,146.6,277.6,14.7,,,1448.0,Standard,,21680.0
https://www.carsized.com/en/cars/honda-accord-2016-sedan/,Honda,Accord,Sedan,Sedan,2016,2017.0,2017,Honda Accord (2016-2017),2015-2019,2010s,489.0,184.9,,146.6,277.6,14.7,,,1438.0,Standard,,22205.0
https://www.carsized.com/en/cars/honda-accord-2017-sedan/,Honda,Accord,Sedan,Sedan,2017,2022.0,2022,Honda Accord (2017-2022),2015-2019,2010s,487.9,186.2,,145.0,283.0,14.0,472.0,,1428.0,Standard,,23570.0
https://www.carsized.com/en/cars/honda-accord-2023-sedan/,Honda,Accord,Sedan,Sedan,2023,,present,Honda Accord (2023-present),2020-2024,2020s,497.1,186.2,,145.0,283.0,13.5,,,1469.0,Standard,,27295.0
https://www.carsized.com/en/cars/honda-city-2014-sedan/,Honda,City,Sedan,Sedan,2014,2019.0,2019,Honda City (2014-2019),2010-2014,2010s,444.2,169.4,,147.7,260.0,,,,,Uncategorized,,
https://www.carsized.com/en/cars/honda-civic-1972-3-door-hatchback/,Honda,Civic,Hatchback,3-door Hatchback,1972,1979.0,1979,Honda Civic (1972-1979),1970-1974,1970s,356.0,150.5,,132.5,220.0,,,,690.0,Standard,3936.0,
https://www.carsized.com/en/cars/honda-civic-1987-3-door-hatchback/,Honda,Civic,Hatchback,3-door Hatchback,1987,1991.0,1991,Honda Civic (1987-1991),1985-1989,1980s,396.5,168.0,,133.0,250.0,,196.0,337.0,832.0,Standard,8533.0,
https://www.carsized.com/en/cars/honda-civic-1995-3-door-hatchback/,Honda,Civic,Hatchback,3-door Hatchback,1995,2000.0,2000,Honda Civic (1995-2000),1995-1999,1990s,419.0,169.5,,137.5,262.0,,225.0,600.0,1030.0,Standard,12261.0,
https://www.carsized.com/en/cars/honda-civic-2005-5-door-hatchback/,Honda,Civic,Hatchback,5-door Hatchback,2005,2008.0,2008,Honda Civic (2005-2008),2005-2009,2000s,424.5,176.5,,146.0,262.0,14.0,456.0,1352.0,1240.0,Standard,16550.0,
https://www.carsized.com/en/cars/honda-civic-2005-coupe/,Honda,Civic,Coupé,Coupé,2005,2007.0,2007,Honda Civic (2005-2007),2005-2009,2000s,444.0,175.0,,135.9,264.9,,,,1173.0,Standard,,14560.0
https://www.carsized.com/en/cars/honda-civic-2005-sedan/,Honda,Civic,Sedan,Sedan,2005,2010.0,2010,Honda Civic (2005-2010),2005-2009,2000s,448.8,175.3,,143.5,270.0,,,,1192.0,Standard,,14760.0
https://www.carsized.com/en/cars/honda-civic-2010-3-door-hatchback/,Honda,Civic,Hatchback,3-door Hatchback,2010,2011.0,2011,Honda Civic (2010-2011),2010-2014,2010s,427.0,178.5,,146.0,262.0,14.0,456.0,1352.0,1266.0,Standard,24450.0,
https://www.carsized.com/en/cars/honda-civic-2011-5-door-hatchback/,Honda,Civic,Hatchback,5-door Hatchback,2011,2017.0,2017,Honda Civic (2011-2017),2010-2014,2010s,430.0,177.0,,147.2,259.5,14.0,477.0,1378.0,1300.0,Standard,14500.0,
https://www.carsized.com/en/cars/honda-civic-2013-sedan/,Honda,Civic,Sedan,Sedan,2013,2015.0,2015,Honda Civic (2013-2015),2010-2014,2010s,455.7,175.3,,143.5,267.0,,,,1243.0,Standard,,18165.0
https://www.carsized.com/en/cars/honda-civic-2016-5-door-hatchback/,Honda,Civic,Hatchback,5-door Hatchback,2016,2022.0,2022,Honda Civic (2016-2022),2015-2019,2010s,451.8,179.9,207.6,143.4,269.7,12.9,420.0,1209.0,1229.0,Standard,19990.0,
https://www.carsized.com/en/cars/honda-civic-2016-sedan/,Honda,Civic,Sedan,Sedan,2016,2022.0,2022,Honda Civic (2016-2022),2015-2019,2010s,464.8,179.9,207.5,141.6,269.8,12.4,519.0,,1321.0,Standard,25590.0,21050.0
https://www.carsized.com/en/cars/honda-civic-2021-5-door-hatchback/,Honda,Civic,Hatchback,5-door Hatchback,2021,,present,Honda Civic (2021-present),2020-2024,2020s,455.1,189.0,208.2,140.8,273.4,12.8,410.0,1220.0,1517.0,Standard,39500.0,24750.0
https://www.carsized.com/en/cars/honda-civic-2021-sedan/,Honda,Civic,Sedan,Sedan,2021,,present,Honda Civic (2021-present),2020-2024,2020s,467.4,189.0,208.2,141.5,273.6,12.8,,,1331.0,Standard,,23750.0
https://www.carsized.com/en/cars/honda-clarity-2017-sedan-phev/,Honda,Clarity,Sedan,Sedan,2017,2021.0,2021,Honda Clarity (2017-2021),2015-2019,2010s,489.5,187.7,207.5,147.8,275.1,,,,1838.0,Standard,,33400.0
https://www.carsized.com/en/cars/honda-cr-v-1995-suv/,Honda,CR-V,SUV,SUV,1995,1998.0,1998,Honda CR-V (1995-1998),1995-1999,1990s,451.0,178.0,,170.0,262.0,20.6,374.0,668.0,1430.0,Standard,20390.0,19695.0
https://www.carsized.com/en/cars/honda-cr-v-2004-suv/,Honda,CR-V,SUV,SUV,2004,2006.0,2006,Honda CR-V (2004-2006),2000-2004,2000s,463.5,178.5,,171.0,263.0,20.6,527.0,952.0,1529.0,Standard,24790.0,20195.0
https://www.carsized.com/en/cars/honda-cr-v-2010-suv/,Honda,CR-V,SUV,SUV,2010,2012.0,2012,Honda CR-V (2010-2012),2010-2014,2010s,457.0,182.0,,167.5,263.0,17.5,556.0,1669.0,1570.0,Standard,26950.0,
https://www.carsized.com/en/cars/honda-cr-v-2015-suv/,Honda,CR-V,SUV,SUV,2015,2018.0,2018,Honda CR-V (2015-2018),2015-2019,2010s,460.5,182.0,,168.5,263.0,16.5,589.0,1669.0,1531.0,Standard,23990.0,23445.0
https://www.carsized.com/en/cars/honda-cr-v-2017-suv/,Honda,CR-V,SUV,SUV,2017,2023.0,2023,Honda CR-V (2017-2023),2015-2019,2010s,460.0,185.5,211.7,167.9,266.3,19.8,561.0,1756.0,1501.0,Standard,28990.0,24045.0
https://www.carsized.com/en/cars/honda-cr-v-2022-suv/,Honda,CR-V,SUV,SUV,2022,,present,Honda CR-V (2022-present),2020-2024,2020s,470.6,194.2,215.3,168.4,270.0,20.0,587.0,1642.0,1875.0,Standard,51400.0,29500.0
https://www.carsized.com/en/cars/honda-cr-x-3-door-liftback/,Honda,CR-X,Liftback,3-door Liftback,1987,1991.0,1991,Honda CR-X (1987-1991),1985-1989,1980s,375.5,167.5,,127.0,230.0,,196.0,337.0,909.0,Standard,,
https://www.carsized.com/en/cars/honda-cr-z-2010-3-door-liftback/,Honda,CR-Z,Liftback,3-door Liftback,2010,2012.0,2012,Honda CR-Z (2010-2012),2010-2014,2010s,408.0,174.0,201.4,139.5,242.5,13.5,225.0,595.0,1245.0,Standard,21990.0,
https://www.carsized.com/en/cars/honda-crosstour-2013-5-door-coupe-suv/,Honda,Crosstour,SUV,5-door Coupé SUV,2013,2015.0,2015,Honda Crosstour (2013-2015),2010-2014,2010s,499.4,189.7,,156.2,279.7,15.7,500.0,1400.0,1680.0,Standard,,27230.0
https://www.carsized.com/en/cars/honda-e-2020-5-door-hatchback/,Honda,e,Hatchback,5-door Hatchback,2020,,present,Honda e (2020-present),2020-2024,2020s,389.4,175.2,175.2,151.2,253.8,14.5,171.0,861.0,1588.0,Standard,33850.0,
https://www.carsized.com/en/cars/honda-element-2002-suv/,Honda,Element,SUV,SUV,2002,2006.0,2006,Honda Element (2002-2006),2000-2004,2000s,430.0,181.6,,188.0,257.6,17.5,,,1510.0,Standard,,16100.0
https://www.carsized.com/en/cars/honda-eny1-2023-suv/,Honda,e:Ny,SUV,SUV,2023,,present,Honda e:Ny (2023-present),2020-2024,2020s,438.7,186.6,202.8,158.4,260.7,13.5,361.0,1176.0,1730.0,Standard,47590.0,
